datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
02/01/2024 11:30 - 02/01/2024 11:45,4448.6,4067.3,3022,0,160.6,3200,3014,4616.57,4320.69,2484.25,0,335.61,2726.5,3053.25
02/01/2024 11:45 - 02/01/2024 12:00,4448.6,4067.3,3022,0,160.6,3200,3014,4616.57,4320.69,2484.25,0,335.61,2726.5,3053.25
02/01/2024 12:00 - 02/01/2024 12:15,4236.1,3683.4,3078,0,913.3,3200,3014,4258.04,4134.52,2329.25,0,850.13,2356.25,2545.75
02/01/2024 12:15 - 02/01/2024 12:30,4236.1,3683.4,3078,0,913.3,3200,3014,4258.04,4134.52,2329.25,0,850.13,2356.25,2545.75
02/01/2024 12:30 - 02/01/2024 12:45,4236.1,3683.4,3078,0,913.3,3200,3014,4258.04,4134.52,2329.25,0,850.13,2356.25,2545.75
02/01/2024 12:45 - 02/01/2024 13:00,4236.1,3683.4,3078,0,913.3,3200,3014,4258.04,4134.52,2329.25,0,850.13,2356.25,2545.75
02/01/2024 13:00 - 02/01/2024 13:15,4214,4013,3078,0,1260.1999999999998,3200,3014,4288.7,4617.58,2571,0,1069.13,2692.75,3054.25
02/01/2024 13:15 - 02/01/2024 13:30,4214,4013,3078,0,1260.1999999999998,3200,3014,4288.7,4617.58,2571,0,1069.13,2692.75,3054.25
02/01/2024 13:30 - 02/01/2024 13:45,4214,4013,3078,0,1260.1999999999998,3200,3014,4288.7,4617.58,2571,0,1069.13,2692.75,3054.25
02/01/2024 13:45 - 02/01/2024 14:00,4214,4013,3078,0,1260.1999999999998,3200,3014,4288.7,4617.58,2571,0,1069.13,2692.75,3054.25
02/01/2024 14:00 - 02/01/2024 14:15,4068.1,4012.9,3134,0,600.6,3200,3014,4158.65,4625.99,2505,0,823.32,2836.25,3056.25
02/01/2024 14:15 - 02/01/2024 14:30,4068.1,4012.9,3134,0,600.6,3200,3014,4158.65,4625.99,2505,0,823.32,2836.25,3056.25
02/01/2024 14:30 - 02/01/2024 14:45,4068.1,4012.9,3134,0,600.6,3200,3014,4158.65,4625.99,2505,0,823.32,2836.25,3056.25
