datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
01/01/2024 09:15 - 01/01/2024 09:30,-1020.5,-110.9,908,0,2913,1388,2622,-1385.73,280.72,1282,0,2685,1846,1141
01/01/2024 09:30 - 01/01/2024 09:45,-1020.5,-110.9,908,0,2913,1388,2622,-1385.73,280.72,1282,0,2685,1846,1141
01/01/2024 09:45 - 01/01/2024 10:00,-1020.5,-110.9,908,0,2913,1388,2622,-1385.73,280.72,1282,0,2685,1846,1141
01/01/2024 10:00 - 01/01/2024 10:15,-888.25,-455.15,871,0,2913,1309.9,2522,-1234.26,252.74,1137,0,2837.6,1590.75,1770.75
01/01/2024 10:15 - 01/01/2024 10:30,-888.25,-455.15,871,0,2913,1309.9,2522,-1234.26,252.74,1137,0,2837.6,1590.75,1770.75
01/01/2024 10:30 - 01/01/2024 10:45,-888.25,-455.15,871,0,2913,1309.9,2522,-1234.26,252.74,1137,0,2837.6,1590.75,1770.75
01/01/2024 10:45 - 01/01/2024 11:00,-888.25,-455.15,871,0,2913,1309.9,2522,-1234.26,252.74,1137,0,2837.6,1590.75,1770.75
01/01/2024 11:00 - 01/01/2024 11:15,-597,-814,928,0,2250.8,1418.5,3014,-883.84,311.86,1075,0,2482.62,1215,3044
01/01/2024 11:15 - 01/01/2024 11:30,-597,-814,928,0,2250.8,1418.5,3014,-883.84,311.86,1075,0,2482.62,1215,3044
01/01/2024 11:30 - 01/01/2024 11:45,-597,-814,928,0,2250.8,1418.5,3014,-883.84,311.86,1075,0,2482.62,1215,3044
